age,weight(kg),height(cm),income_lakh_per_annum,smoker,city,occupation,insurance_premium_category
25,68.5,170.2,6.5,False,Ahmedabad,Engineer,Low
98,75.0,165.4,12.0,True,Mumbai,Doctor,High
45,82.3,172.1,18.5,False,Delhi,Manager,Medium
29,60.2,158.9,4.8,False,Pune,Teacher,Low
82,90.1,175.6,22.0,True,Bangalore,Business,High
34,72.5,168.3,10.5,False,Chennai,Engineer,Medium
41,80.0,169.0,15.0,True,Kolkata,Lawyer,High
27,65.3,171.5,5.5,False,Jaipur,Designer,Low
38,78.6,167.2,13.5,False,Hyderabad,IT Specialist,Medium
50,85.4,173.8,20.0,True,Surat,Trader,High
23,55.0,160.1,3.2,False,Indore,Student,Low
52,74.8,169.5,11.2,True,Nagpur,Engineer,Medium
77,88.9,174.2,17.5,False,Bhopal,Manager,High
31,69.7,166.4,9.8,False,Lucknow,Teacher,Medium
44,83.2,172.8,16.3,True,Kanpur,Doctor,High
26,62.1,162.0,5.0,False,Patna,Clerk,Low
39,79.5,170.0,14.1,True,Agra,Lawyer,High
53,91.0,176.5,21.8,False,Varanasi,Business,High
28,66.4,168.9,6.2,False,Amritsar,Engineer,Low
35,73.3,167.7,10.0,True,Ranchi,Manager,Medium
42,81.2,171.3,15.7,False,Guwahati,Teacher,Medium
30,70.0,165.9,8.9,False,Chandigarh,Designer,Low
47,87.5,173.0,18.0,True,Noida,IT Specialist,High
24,58.6,161.2,4.0,False,Ghaziabad,Student,Low
37,76.8,169.8,12.7,False,Faridabad,Engineer,Medium
49,89.3,175.0,19.5,True,Meerut,Business,High
33,71.4,168.0,9.5,False,Raipur,Teacher,Medium
40,82.7,170.5,14.8,True,Jodhpur,Manager,High
51,90.8,176.0,21.0,False,Udaipur,Trader,High
22,54.2,159.8,3.5,False,Dehradun,Student,Low
25,68.0,170.0,6.8,False,Shimla,Clerk,Low
34,72.0,168.0,10.2,True,Mysore,Engineer,Medium
46,85.5,174.5,17.2,False,Mangalore,Doctor,High
29,61.5,163.0,5.6,False,Coimbatore,Teacher,Low
38,78.0,169.2,13.8,True,Madurai,Lawyer,High
87,92.0,177.2,22.5,True,Tiruchirappalli,Business,High
31,69.0,166.0,9.2,False,Vijayawada,Designer,Medium
44,84.0,173.5,16.8,True,Visakhapatnam,Manager,High
27,64.0,171.0,5.3,False,Bhubaneswar,Engineer,Low
56,75.5,169.5,11.5,False,Cuttack,Teacher,Medium
48,88.0,175.0,18.2,True,Srinagar,Trader,High
23,56.0,160.5,3.8,False,Jammu,Student,Low
35,73.0,167.8,10.8,True,Panaji,Engineer,Medium
41,80.5,170.3,14.9,False,Imphal,Manager,Medium
50,86.7,174.0,19.8,True,Aizawl,Business,High
